,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O12,T9,0.928803899,0.030211171,0.001414686,0.2564189,0.02069453,0.155623554,Genuine
O13,T9,0.823016326,0.191704174,0.011659592,0.076779581,0.0197523,0.116991479,Genuine
O14,T9,0.941721605,0.053647904,0.001580057,0.252333819,0.018409622,0.149725568,Genuine
O15,T9,0.89626468,0.091474017,0.006013418,0.037354728,0.01955625,0.146896263,Genuine
O16,T9,0.875876833,0.175941277,0.007362344,0.053913823,0.01810642,0.106049448,Genuine
O17,T9,0.904711309,0.055510149,0.002546112,0.225320902,0.019930667,0.154700005,Genuine
O18,T9,0.92905258,0.040636012,0.002900482,0.302239025,0.020817449,0.167969566,Genuine
O19,T9,0.946493043,0.030779918,0.00190695,0.168428068,0.020870407,0.155988564,Genuine
O20,T9,0.886081345,0.075373181,0.004369969,0.336503291,0.019189299,0.155392871,Genuine
O1,T10,0.86642749,0.156379584,0.016971112,0.084254823,0.033463274,0.085850545,Genuine
O2,T10,0.852971045,0.081987199,0.004130525,0.278453828,0.039059862,0.064089671,Genuine
O3,T10,0.904332977,0.073557813,0.002677495,0.309250465,0.039843064,0.061619168,Genuine
O4,T10,0.893565447,0.067908969,0.002714464,0.350725802,0.040784396,0.063176776,Genuine
O5,T10,0.944522991,0.038323603,0.001828677,0.284153693,0.042082358,0.061849621,Genuine
O6,T10,0.956231993,0.021371762,0.001531527,0.284063666,0.043619286,0.062187938,Genuine
O7,T10,0.941316559,0.042663427,0.002426194,0.240494136,0.043000794,0.062533413,Genuine
O8,T10,0.846986661,0.106899745,0.015670952,0.134092891,0.040461187,0.086550868,Genuine
O9,T10,0.77479233,0.2649395,0.027569096,0.162749566,0.041235508,0.095908225,Genuine
O10,T10,0.943930668,0.026148963,0.003072445,0.307819652,0.043668905,0.064014057,Genuine
O11,T10,0.844954293,0.097567048,0.015552821,0.18619722,0.039498823,0.083049124,Genuine
O12,T10,0.912375709,0.041706965,0.002011696,0.302284795,0.041978024,0.062129781,Genuine
O13,T10,0.919232798,0.03155307,0.00269697,0.275134389,0.044869749,0.06203378,Genuine
O14,T10,0.883115807,0.050039382,0.002218004,0.318231456,0.041921308,0.061171507,Genuine
O15,T10,0.769108574,0.308063839,0.020335021,0.147893312,0.032349475,0.07393484,Genuine
O16,T10,0.928128952,0.048180645,0.002009372,0.296157707,0.040158541,0.061143352,Genuine
O17,T10,0.899252241,0.059669611,0.003398819,0.286087976,0.039720942,0.063315284,Genuine
O18,T10,0.867709985,0.214607966,0.020333665,0.113639226,0.034387707,0.093401662,Genuine
O19,T10,0.928253036,0.031823505,0.001944409,0.258224834,0.040383707,0.06124587,Genuine
O20,T10,0.841873828,0.072504517,0.006643984,0.263922333,0.04168237,0.064189222,Genuine
O1,F1,0.951402686,0.016021826,0.002741657,0.389543159,0.073595802,0.116934629,Posed
O2,F1,0.959285321,0.029372646,0.004002221,0.330681152,0.074743094,0.116503159,Posed
O3,F1,0.955989918,0.018794682,0.002286832,0.418234427,0.074781791,0.117502911,Posed
O4,F1,0.976339486,0.015852451,0.002902406,0.386337973,0.073731073,0.116945798,Posed
O5,F1,0.98284564,0.008790974,0.001441908,0.333829605,0.07458155,0.116583496,Posed
O6,F1,0.733464385,0.358368479,0.044005178,0.316252168,0.056368271,0.13396627,Posed
O7,F1,0.956115202,0.049406652,0.007574861,0.070747198,0.073779677,0.116947686,Posed
O8,F1,0.918879798,0.045174466,0.009174472,0.377358766,0.073616637,0.116684143,Posed
